pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
299,681217,"Silseth, Chase",299,100,0.286,0.2,0.333,0.486,0.363,0.381,0.316,20,70,90.9,9.8,2110,90.2,89.4,40,134,165,-0.8,5.9,121,154,116,160,296,321,292
297,666721,"Castillo, Max",297,100,0.265,0.132,0.302,0.397,0.318,0.316,0.261,18,68,89.8,15.5,2083,89.2,89.73,27,135,162,0.5,6.65,119,162,122,152,289,326,298
289,663855,"Hicks, Jordan",289,100,0.17,0.191,0.214,0.362,0.36,0.419,0.244,8,47,90.1,3.3,2161,93.6,93.79,21,105,184,0.2,6.52,123,161,113,152,295,319,301
282,672578,"Hernández, Carlos",282,100,0.254,0.102,0.3,0.356,0.335,0.323,0.236,15,59,84.5,9.6,2147,88.8,89.52,28,119,163,0.7,6.59,115,160,116,149,301,324,304
268,641447,"Castano, Daniel",268,100,0.333,0.304,0.339,0.638,0.428,0.401,0.332,23,69,87.4,10.6,2258,85.3,84.83,21,132,136,-0.5,6.04,111,157,117,152,297,313,291
266,669461,"Liberatore, Matthew",266,100,0.408,0.306,0.5,0.714,0.525,0.453,0.323,20,49,92.7,19.2,2212,87.5,87.18,24,110,156,-0.3,6.32,115,156,119,150,306,326,297
262,669358,"Baz, Shane",262,100,0.266,0.125,0.381,0.391,0.307,0.302,0.256,17,64,93.3,15.4,2482,90.1,90.45,38,121,141,0.3,6.5,114,165,112,152,300,325,300
256,686973,"Varland, Louie",256,100,0.291,0.273,0.308,0.564,0.397,0.394,0.294,16,55,89.5,14.5,2133,90.1,90.71,23,118,138,0.6,6.68,119,162,126,151,293,321,286
251,547943,"Ryu, Hyun Jin",251,100,0.284,0.269,0.296,0.552,0.369,0.326,0.274,19,67,90.2,11.5,1985,83.1,83.21,15,105,146,0.1,6.53,108,161,120,150,301,317,297
250,675627,"Grove, Michael",250,100,0.25,0.313,0.229,0.563,0.368,0.297,0.222,16,64,91.7,15.8,2300,88.7,89.04,27,118,132,0.3,6.48,120,160,117,151,299,317,296
