pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
495,670174,"Winckowski, Josh",495,100,0.28,0.229,0.281,0.508,0.368,0.342,0.27,33,118,88.6,8,2106,90.2,90.63,43,222,273,0.4,6.52,101,147,113,147,290,326,297
489,689225,"Brieske, Beau",489,100,0.25,0.142,0.26,0.392,0.298,0.354,0.301,30,120,87.5,18.2,2299,88.9,87.99,37,252,237,-0.9,5.77,98,149,112,143,301,329,298
489,608723,"Voth, Austin",489,100,0.202,0.193,0.198,0.395,0.277,0.302,0.221,23,114,88.2,18.2,2620,86.3,85.89,60,239,250,-0.4,6.23,97,151,116,148,302,321,296
488,434671,"Sánchez, Aníbal",488,100,0.18,0.18,0.171,0.36,0.28,0.302,0.229,18,100,85.4,19.5,1863,84.7,84.79,46,230,258,0.1,6.32,100,148,118,145,298,312,296
482,670124,"Oller, Adam",482,100,0.286,0.295,0.276,0.58,0.395,0.387,0.276,32,112,88.7,16.3,2060,89.2,89.01,55,249,233,-0.2,6.24,101,145,111,146,298,322,297
471,656412,"Faedo, Alex",471,100,0.304,0.147,0.349,0.451,0.354,0.361,0.288,31,102,90.8,17.8,2283,89,88.47,48,214,257,-0.5,5.96,103,151,110,144,300,328,295
457,621111,"Buehler, Walker",457,100,0.279,0.153,0.333,0.432,0.323,0.301,0.252,31,111,86.4,9.1,2395,89.9,90.42,69,247,210,0.5,6.51,101,150,117,148,296,316,295
450,663455,"Pilkington, Konnor",450,100,0.29,0.226,0.314,0.516,0.386,0.341,0.243,27,93,87.7,13,2104,89,89.2,53,221,229,0.2,6.42,99,149,114,145,300,318,288
443,642547,"Peralta, Freddy",443,100,0.233,0.156,0.286,0.389,0.311,0.314,0.238,21,90,85.8,14.5,2182,87.4,88.48,66,197,246,1.1,7.1,99,148,120,145,296,318,294
438,663559,"Falter, Bailey",438,100,0.287,0.223,0.338,0.511,0.377,0.359,0.28,27,94,88.2,14.2,1989,87.2,89.11,56,204,234,1.9,7.46,100,148,116,143,302,324,284
438,665795,"Cabrera, Edward",438,100,0.179,0.116,0.219,0.295,0.267,0.286,0.206,17,95,83.8,8.6,2146,90.6,90.89,66,208,230,0.3,6.5,100,147,116,148,296,319,293
437,607259,"Martinez, Nick",437,100,0.215,0.172,0.258,0.387,0.318,0.332,0.234,20,93,89.3,12,2216,86.6,85.84,60,212,225,-0.8,5.93,103,155,116,149,292,322,302
423,621107,"Eflin, Zach",423,100,0.308,0.231,0.333,0.538,0.365,0.319,0.262,32,104,86.1,8.7,2150,89.3,89.8,39,210,213,0.5,6.67,95,146,119,138,294,326,295
403,666159,"Manning, Matt",403,100,0.222,0.04,0.263,0.263,0.233,0.29,0.248,22,99,89.9,17.1,2053,89,90.15,56,221,182,1.2,6.93,97,150,110,141,298,330,294
391,656353,"Davidson, Tucker",391,100,0.276,0.276,0.271,0.552,0.388,0.334,0.245,24,87,89.9,8.3,2163,88.7,88.42,39,190,201,-0.3,6.19,101,150,114,146,299,323,290
388,593334,"Germán, Domingo",388,100,0.262,0.175,0.287,0.437,0.328,0.339,0.27,27,103,87.7,12.9,2510,86.4,85.95,54,204,184,-0.4,6.08,99,157,118,148,290,328,289
384,661309,"Martínez, Adrián",384,100,0.314,0.163,0.338,0.477,0.363,0.339,0.285,27,86,89,16,2142,88.5,88.04,39,181,203,-0.5,6.16,98,146,112,147,297,322,298
381,571760,"Heaney, Andrew",381,100,0.196,0.227,0.259,0.423,0.292,0.291,0.206,19,97,90.7,18.9,2453,89.7,89.23,83,212,169,-0.5,6.08,98,152,116,145,299,314,288
378,669920,"Alexander, Jason",378,100,0.313,0.091,0.333,0.404,0.338,0.343,0.298,31,99,90.1,0.9,2148,88.8,88.84,30,181,197,0,6.3,100,146,115,143,296,317,297
377,669145,"Zimmermann, Bruce",377,100,0.277,0.257,0.262,0.535,0.355,0.384,0.287,28,101,91,17.8,2252,86,85.53,41,203,174,-0.5,6.08,97,150,111,144,309,318,292
370,676664,"Sears, JP",370,100,0.253,0.161,0.284,0.414,0.324,0.309,0.232,22,87,85.9,21.2,2181,87.3,87.48,36,178,192,0.2,6.4,98,148,113,145,304,323,292
351,669467,"Pallante, Andre",351,100,0.365,0.212,0.38,0.576,0.432,0.34,0.291,31,85,90.9,-0.9,2336,90.4,91.01,31,174,177,0.6,6.62,103,146,116,145,304,325,301
351,676710,"Crawford, Kutter",351,100,0.309,0.321,0.328,0.63,0.418,0.351,0.272,25,81,89.7,17.5,2348,88.2,87.93,49,170,181,-0.3,6.12,99,150,115,147,291,328,291
339,656970,"Smeltzer, Devin",339,100,0.26,0.182,0.262,0.442,0.32,0.27,0.214,20,77,85.2,10.4,2123,82.9,82.24,29,166,173,-0.7,5.85,96,149,116,145,298,331,292
